feature,psi,ks,jsd,wasserstein,psi_band
flow_duration,0.0015219685045320666,0.007249868953146055,0.000190217653400221,6.861259030428618,stable
Header_Length,0.0013873317682751157,0.0062476204510649724,0.0001733986763655117,13390.665751881643,stable
Duration,1.5085487490457007e-05,0.0008589497607907233,1.8856506731213397e-06,0.063188456809339,stable
Rate,0.0019588106401167062,0.009716819269173116,0.00024480740854872896,18.178502710146837,stable
Srate,0.0019588106401167062,0.009716819269173116,0.00024480740854872896,18.178502710146837,stable
Drate,0.0,0.0,0.0,0.0,stable
fin_flag_number,0.0,0.0024577343744967006,0.0,0.0024577343744967006,stable
syn_flag_number,0.0,0.0020008197187786347,0.0,0.0020008197187786347,stable
rst_flag_number,0.0,0.000122512463150648,0.0,0.000122512463150648,stable
psh_flag_number,0.0,0.005883216038827355,0.0,0.005883216038827355,stable
ack_flag_number,0.0,0.001480232662673761,0.0,0.001480232662673761,stable
ack_count,8.530439974478027e-05,0.002304199842322552,1.0662262430958509e-05,0.013607073674184234,stable
syn_count,0.0002379235403278645,0.006120500599920309,2.9738021525614426e-05,0.04040957485717184,stable
fin_count,0.0,0.000122512463150648,0.0,0.0001380060145307338,stable
rst_count,0.0008898608219467134,0.005286484116126644,0.00011121881433502269,54.54875018318387,stable
max_duration,0.002744688504555266,0.009893446687339602,0.000342982807069615,563.6647489070119,stable
min_duration,0.0029011443123799297,0.009619679492398281,0.0003625386872133776,561.6619896629238,stable
average_duration,0.0025783967849345732,0.00990533288586315,0.00032221643276774515,561.355302981183,stable
std_duration,0.0024793170798785326,0.006725766622012075,0.00030984853746675675,1.9591542786350868,stable
TCP,0.0,0.0013964441708652908,0.0,0.0013964441708652908,stable
UDP,0.0,0.0017006681469027285,0.0,0.0017006681469027285,stable
ARP,0.0,0.000349473817700674,0.0,0.000349473817700674,stable
ICMP,0.0,4.5249841663097534e-05,0.0,4.5249841663097534e-05,stable
Tot sum,0.0030167856727944136,0.009172075187121986,0.0003769410545322026,31.544277697365825,stable
Min,5.027664079468726e-05,0.002722615476327128,6.284339856091033e-06,0.5773977923207695,stable
Max,0.0009157691356899602,0.006880469027389036,0.00011435400478105664,5.927851308780172,stable
AVG,0.0028892619205106622,0.009067030703700019,0.00036097306495188724,2.376418551800338,stable
Std,0.001440110360589181,0.008105446800588223,0.0001799886796357412,2.840434747230799,stable
Tot size,0.00041127711304934315,0.004630154528284969,5.140670740088921e-05,1.2360196110526736,stable
IAT,0.0015927215573628048,0.006254689464013141,0.00019904926954941962,2847356.9568683216,stable
Number,0.001868612695965557,0.006230905411544807,0.0002335160649369714,0.04361017099746511,stable
Magnitue,0.0032303417700165955,0.00929697234944693,0.00040355930466210734,0.09447821118069645,stable
Radius,0.0013386025396116125,0.008166190193631434,0.00016730476282777833,4.01373266882885,stable
Variance,0.0,0.005179073582204291,0.0,0.005179073582204291,stable
Weight,0.002090429883532655,0.00788898231835658,0.0002612419896856903,1.134354174097061,stable
flow_idle_time,0.0014199129638011055,0.006386072868227011,0.00017745195256868825,1617666.3755042697,stable
flow_active_time,0.0015219685045320666,0.007249868953146055,0.000190217653400221,6.861259030428618,stable
