timestamp,split_role,attack_present,attack_tactic,net_sampled_flow_rows,prov_rows,campaign_steps
1701468780.0,train,False,normal,0.0,1967,0
1701468840.0,train,False,normal,0.0,4272,0
1701468900.0,train,False,normal,0.0,417,0
1701468960.0,train,False,normal,6.0,266,0
1701469020.0,train,False,normal,13.0,60,0
1701469080.0,train,False,normal,16.0,91,0
1701469140.0,train,False,normal,18.0,50,0
1701469200.0,train,True,initial_access,24.0,31,0
1701469260.0,train,False,normal,28.0,22,0
1701469320.0,train,False,normal,22.0,36,0
1701469380.0,train,False,normal,24.0,22,0
1701469440.0,train,False,normal,22.0,22,0
1701469500.0,train,True,collection,47.0,39,2
1701469560.0,train,True,collection,37.0,22,0
1701469620.0,train,False,normal,19.0,33,0
1701469680.0,train,False,normal,21.0,28,0
1701469740.0,train,False,normal,20.0,23,0
1701469800.0,train,False,normal,16.0,32,0
1701469860.0,train,False,normal,26.0,22,0
1701469920.0,train,False,normal,13.0,37,0
1701469980.0,train,False,normal,26.0,33,0
1701470040.0,train,False,normal,16.0,23,0
1701470100.0,train,False,normal,15.0,22,0
1701470160.0,train,False,normal,20.0,22,0
1701470220.0,train,False,normal,22.0,33,0
1701470280.0,train,False,normal,17.0,23,0
1701470340.0,train,False,normal,19.0,23,0
1701470400.0,train,False,normal,22.0,22,0
1701470460.0,train,False,normal,16.0,22,0
1701470520.0,train,False,normal,27.0,33,0
1701470580.0,train,False,normal,20.0,23,0
1701470640.0,train,False,normal,18.0,23,0
1701470700.0,train,False,normal,20.0,22,0
1701470760.0,train,False,normal,20.0,22,0
1701470820.0,train,False,normal,16.0,33,0
1701470880.0,train,False,normal,15.0,33,0
1701470940.0,train,False,normal,21.0,23,0
1701471000.0,train,False,normal,17.0,22,0
1701471060.0,train,False,normal,20.0,22,0
1701471120.0,train,False,normal,20.0,33,0
1701471180.0,train,False,normal,29.0,23,0
1701471240.0,train,False,normal,25.0,23,0
1701471300.0,train,False,normal,26.0,22,0
1701471360.0,train,False,normal,16.0,22,0
1701471420.0,train,False,normal,21.0,33,0
1701471480.0,train,False,normal,18.0,23,0
1701471540.0,train,False,normal,18.0,32,0
1701471600.0,train,False,normal,23.0,22,0
1701471660.0,train,False,normal,22.0,22,0
1701471720.0,train,False,normal,23.0,33,0
1701471780.0,train,False,normal,16.0,33,0
1701471840.0,train,False,normal,22.0,23,0
1701471900.0,train,False,normal,16.0,22,0
1701471960.0,train,False,normal,27.0,22,0
1701472020.0,train,False,normal,13.0,33,0
1701472080.0,train,False,normal,30.0,23,0
1701472140.0,train,False,normal,16.0,23,0
1701472200.0,train,False,normal,21.0,22,0
1701472260.0,train,False,normal,22.0,22,0
1701472320.0,train,False,normal,27.0,33,0
1701472380.0,train,False,normal,18.0,23,0
1701472440.0,train,False,normal,24.0,23,0
1701472500.0,train,False,normal,16.0,22,0
1701472560.0,train,False,normal,20.0,23,0
1701472620.0,train,False,normal,14.0,42,0
1701472680.0,train,False,normal,17.0,33,0
1701472740.0,train,False,normal,25.0,23,0
1701472800.0,train,False,normal,28.0,22,0
1701472860.0,train,False,normal,14.0,22,0
1701472920.0,train,False,normal,29.0,33,0
1701472980.0,train,False,normal,19.0,21,0
1701473040.0,train,True,collection,26.0,30,0
1701473100.0,train,True,collection,26.0,15,1
1701473160.0,train,True,collection,32.0,21,0
1701473220.0,train,False,normal,22.0,32,0
1701473280.0,train,False,normal,19.0,22,0
1701473340.0,train,False,normal,17.0,23,0
1701473400.0,train,False,normal,25.0,31,0
1701473460.0,train,False,normal,24.0,21,0
1701473520.0,train,False,normal,19.0,33,0
1701473580.0,train,False,normal,34.0,37,0
1701473640.0,train,False,normal,18.0,22,0
1701473700.0,train,False,normal,17.0,22,0
1701473760.0,train,False,normal,19.0,22,0
1701473820.0,train,False,normal,22.0,33,0
1701473880.0,train,False,normal,21.0,21,0
1701473940.0,train,False,normal,15.0,23,0
1701474000.0,train,False,normal,25.0,22,0
1701474060.0,train,False,normal,33.0,21,0
1701474120.0,train,False,normal,22.0,275,0
1701474180.0,train,False,normal,24.0,23,0
1701474240.0,train,False,normal,21.0,22,0
1701474300.0,train,False,normal,19.0,22,0
1701474360.0,train,False,normal,17.0,21,0
1701474420.0,train,False,normal,28.0,32,0
1701474480.0,train,False,normal,26.0,33,0
1701474540.0,train,False,normal,17.0,22,0
1701474600.0,train,False,normal,15.0,21,0
1701474660.0,train,False,normal,24.0,22,0
1701474720.0,train,False,normal,24.0,31,0
1701474780.0,train,False,normal,22.0,22,0
1701474840.0,train,False,normal,21.0,22,0
1701474900.0,train,False,normal,27.0,22,0
1701474960.0,train,False,normal,23.0,22,0
1701475020.0,train,False,normal,21.0,33,0
1701475080.0,train,False,normal,16.0,22,0
1701475140.0,train,False,normal,23.0,22,0
1701475200.0,validation,False,normal,14.0,22,0
1701475260.0,validation,False,normal,23.0,14,0
1701475320.0,validation,False,normal,30.0,33,0
1701475380.0,validation,False,normal,18.0,32,0
1701475440.0,validation,False,normal,19.0,22,0
1701475500.0,validation,False,normal,14.0,22,0
1701475560.0,validation,False,normal,17.0,21,0
1701475620.0,validation,False,normal,21.0,32,0
1701475680.0,validation,False,normal,19.0,23,0
1701475740.0,validation,False,normal,19.0,23,0
1701475800.0,validation,False,normal,25.0,22,0
1701475860.0,validation,False,normal,19.0,22,0
1701475920.0,validation,False,normal,21.0,31,0
1701475980.0,validation,False,normal,23.0,22,0
1701476040.0,validation,False,normal,22.0,22,0
1701476100.0,validation,False,normal,24.0,21,0
1701476160.0,validation,False,normal,14.0,21,0
1701476220.0,validation,False,normal,18.0,42,0
1701476280.0,validation,False,normal,21.0,32,0
1701476340.0,validation,False,normal,19.0,21,0
1701476400.0,validation,False,normal,23.0,21,0
1701476460.0,validation,False,normal,25.0,15,0
1701476520.0,validation,False,normal,17.0,33,0
1701476580.0,validation,False,normal,26.0,22,0
1701476640.0,validation,False,normal,14.0,23,0
1701476700.0,validation,False,normal,23.0,22,0
1701476760.0,validation,False,normal,21.0,22,0
1701476820.0,validation,False,normal,20.0,32,0
1701476880.0,validation,False,normal,19.0,22,0
1701476940.0,validation,False,normal,23.0,21,0
1701477000.0,validation,True,collection,20.0,44,0
1701477060.0,validation,True,collection,44.0,20,1
1701477120.0,validation,True,collection,27.0,32,0
1701477180.0,validation,False,normal,24.0,32,0
1701477240.0,validation,False,normal,23.0,22,0
1701477300.0,validation,False,normal,11.0,22,0
1701477360.0,validation,False,normal,17.0,27,0
1701477420.0,validation,False,normal,26.0,26,0
1701477480.0,validation,False,normal,22.0,22,0
1701477540.0,validation,False,normal,13.0,22,0
1701477600.0,validation,False,normal,24.0,22,0
1701477660.0,validation,False,normal,21.0,22,0
1701477720.0,validation,False,normal,33.0,33,0
1701477780.0,validation,False,normal,14.0,22,0
1701477840.0,validation,False,normal,26.0,22,0
1701477900.0,validation,False,normal,19.0,21,0
1701477960.0,validation,False,normal,20.0,28,0
1701478020.0,validation,False,normal,19.0,32,0
1701478080.0,validation,False,normal,23.0,32,0
1701478140.0,validation,False,normal,29.0,22,0
1701478200.0,validation,False,normal,32.0,21,0
1701478260.0,validation,False,normal,28.0,22,0
1701478320.0,validation,False,normal,22.0,33,0
1701478380.0,validation,False,normal,16.0,33,0
1701478440.0,validation,False,normal,22.0,23,0
1701478500.0,validation,False,normal,26.0,22,0
1701478560.0,validation,False,normal,28.0,21,0
1701478620.0,validation,False,normal,19.0,25,0
1701478680.0,validation,False,normal,28.0,23,0
1701478740.0,validation,False,normal,17.0,22,0
1701478800.0,validation,False,normal,19.0,22,0
1701478860.0,validation,False,normal,24.0,21,0
1701478920.0,validation,False,normal,15.0,32,0
1701478980.0,validation,False,normal,32.0,21,0
1701479040.0,validation,False,normal,19.0,21,0
1701479100.0,validation,False,normal,18.0,22,0
1701479160.0,validation,False,normal,31.0,20,0
1701479220.0,validation,False,normal,13.0,33,0
1701479280.0,validation,False,normal,18.0,32,0
1701479340.0,validation,False,normal,15.0,22,0
1701479400.0,validation,False,normal,25.0,21,0
1701479460.0,validation,False,normal,21.0,25,0
1701479520.0,validation,False,normal,27.0,32,0
1701479580.0,validation,False,normal,17.0,21,0
1701479640.0,validation,False,normal,20.0,22,0
1701479700.0,validation,False,normal,15.0,22,0
1701479760.0,validation,False,normal,26.0,14,0
1701479820.0,validation,False,normal,28.0,41,0
1701479880.0,validation,False,normal,16.0,21,0
1701479940.0,validation,False,normal,15.0,22,0
1701480000.0,validation,False,normal,25.0,22,0
1701480060.0,validation,False,normal,24.0,21,0
1701480120.0,validation,False,normal,22.0,31,0
1701480180.0,validation,False,normal,23.0,34,0
1701480240.0,validation,False,normal,18.0,22,0
1701480300.0,validation,False,normal,22.0,21,0
1701480360.0,validation,False,normal,12.0,21,0
1701480420.0,validation,False,normal,16.0,32,0
1701480480.0,validation,False,normal,21.0,21,0
1701480540.0,validation,False,normal,16.0,20,0
1701480600.0,validation,False,normal,26.0,32,0
1701480660.0,validation,False,normal,19.0,21,0
1701480720.0,validation,False,normal,16.0,32,0
1701480780.0,validation,True,collection,32.0,27,1
1701480840.0,validation,True,collection,34.0,27,0
1701480900.0,validation,False,normal,7.0,21,0
1701480960.0,validation,False,normal,22.0,22,0
1701481020.0,validation,False,normal,26.0,32,0
1701481080.0,validation,False,normal,24.0,32,0
1701481140.0,validation,False,normal,16.0,22,0
1701481200.0,validation,False,normal,29.0,23,0
1701481260.0,validation,False,normal,15.0,21,0
1701481320.0,validation,False,normal,32.0,31,0
1701481380.0,validation,False,normal,14.0,22,0
1701481440.0,validation,False,normal,24.0,21,0
1701481500.0,validation,False,normal,22.0,22,0
1701481560.0,validation,False,normal,20.0,21,0
1701481620.0,validation,False,normal,24.0,35,0
1701481680.0,validation,False,normal,18.0,21,0
1701481740.0,validation,False,normal,16.0,22,0
1701481800.0,validation,False,normal,19.0,22,0
1701481860.0,validation,False,normal,13.0,22,0
1701481920.0,validation,False,normal,26.0,32,0
1701481980.0,validation,False,normal,23.0,26,0
1701482040.0,validation,False,normal,18.0,21,0
1701482100.0,validation,False,normal,22.0,22,0
1701482160.0,validation,False,normal,19.0,21,0
1701482220.0,validation,False,normal,21.0,31,0
1701482280.0,validation,False,normal,15.0,22,0
1701482340.0,validation,False,normal,23.0,22,0
1701482400.0,validation,False,normal,30.0,21,0
1701482460.0,validation,False,normal,22.0,22,0
1701482520.0,validation,False,normal,24.0,32,0
