feature,dtype,rows_audited,missing_count,missing_pct,inf_count,zero_pct,unique_count,dominant_pct,constant,near_constant,min,p01,p25,median,p75,p99,max,mean,std,skew,status
flow_duration,float64,66221,0,0.0,0,0.020265474698358526,55287,0.020265474698358526,False,False,0.0,0.0,0.017439842224121,0.1198129653930664,857.4549381732941,2846.941438913346,2983.9950029850006,512.4908993866455,838.616453054879,1.4584705811152743,PASS
Header_Length,int64,66221,0,0.0,0,0.005345736246809924,25976,0.013847571012216668,False,False,0.0,74.0,1234.0,2462.0,876692.0,6551535.6000000145,9756074.0,595263.6564986937,1187507.2617398356,3.5718595857886775,PASS
Duration,int64,66221,0,0.0,0,0.005164524848612978,7,0.9596049591519307,False,False,0.0,1.0,64.0,64.0,64.0,64.0,255.0,62.99682880053155,12.445423795630898,-0.5236462707533058,PASS
Rate,float64,66221,0,0.0,0,1.5100949849745549e-05,59031,0.00919647845849504,False,False,0.0,0.05014156386496054,12.165156939843,268.4262056199909,900.3550499087689,2041.4609949202654,133152.50793650793,437.7702175842769,1377.9390827331329,49.601595034732355,WARN
Srate,float64,66221,0,0.0,0,1.5100949849745549e-05,59031,0.00919647845849504,False,False,0.0,0.05014156386496054,12.165156939843,268.4262056199909,900.3550499087689,2041.4609949202654,133152.50793650793,437.7702175842769,1377.9390827331329,49.601595034732355,WARN
Drate,float64,66221,0,0.0,0,1.0,1,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FAIL
fin_flag_number,int64,66221,0,0.0,0,0.8895818546986606,2,0.8895818546986606,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.11041814530133945,0.3134126063474897,2.4861388040924983,PASS
syn_flag_number,int64,66221,0,0.0,0,0.8863804533305145,2,0.8863804533305145,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.11361954666948551,0.3173510140615996,2.4351087974255554,PASS
rst_flag_number,int64,66221,0,0.0,0,0.9998036876519533,2,0.9998036876519533,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019631234804669213,0.014009881279811382,71.35232242816525,WARN
psh_flag_number,int64,66221,0,0.0,0,0.6611044834720103,2,0.6611044834720103,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3388955165279896,0.47333785899063,0.6807372206566183,PASS
ack_flag_number,int64,66221,0,0.0,0,0.12307274127542622,2,0.8769272587245738,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8769272587245738,0.3285231672770001,-2.294746188598869,PASS
ack_count,int64,66221,0,0.0,0,0.8126274142643573,24,0.8126274142643573,False,False,0.0,0.0,0.0,0.0,0.0,8.0,24.0,1.1466755258905785,2.73829388617855,2.505064679221165,PASS
syn_count,int64,66221,0,0.0,0,0.4335482701861947,56,0.4335482701861947,False,False,0.0,0.0,0.0,4.0,8.0,16.0,55.0,4.388381329185606,4.640211718556973,1.704710207073487,PASS
fin_count,int64,66221,0,0.0,0,0.9998036876519533,4,0.9998036876519533,False,True,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0002869180471451654,0.022321660942299017,90.93583989142735,WARN
rst_count,int64,66221,0,0.0,0,0.11990154180697966,17831,0.11990154180697966,False,False,0.0,0.0,10.0,29.0,8800.0,35015.000000000015,37401.0,5983.011386116186,10102.260638651956,1.5606890119501162,PASS
