feature,univariate_pr_auc,direction,ks,standardized_effect
Rate,0.11168683860653945,low,0.8044827179519969,-0.4040877834894446
Srate,0.11168683860653945,low,0.8044827179519969,-0.4040877834894446
flow_idle_time,0.02572439127727092,high,0.2716227531394536,-0.11811970955920421
syn_count,0.023582018194121056,low,0.5023467718509685,-0.15242878206486155
Std,0.022544478534723134,high,0.2520517732039556,0.22613865030870253
Radius,0.022473782461446556,high,0.25305433179191456,0.22454574148411888
Tot size,0.021451513652780314,low,0.4076900506377943,0.02175459812699714
Max,0.020181801611372494,high,0.17433079477847124,0.26189982439687737
min_duration,0.01969062874804936,low,0.1426362139495575,-0.3104197267021351
average_duration,0.01949696535484554,low,0.14254448345375414,-0.3153767386208491
max_duration,0.018727902683866225,low,0.1435229420756563,-0.3198981256037318
AVG,0.0167201813675383,low,0.15148756663923035,-0.017871163602779204
Magnitue,0.016698509453112152,low,0.15036305845740483,0.08062954921982791
Tot sum,0.0161056442758822,high,0.1066480923709523,0.01759723607189838
psh_flag_number,0.016074239712152966,low,0.2333828662948193,-0.5820142772524595
IAT,0.01603270557332333,high,0.23798535731249826,0.0036188169024737593
flow_duration,0.015237107006455808,high,0.5065034134965984,-0.7527088397090306
flow_active_time,0.015237107006455808,high,0.5065034134965984,-0.7527088397090306
Header_Length,0.015092898668772317,high,0.5309053445967536,-0.6285058071751166
std_duration,0.015087566066912708,high,0.5002794089814699,-0.7538124153854282
fin_flag_number,0.015000785785415596,high,0.11263789416906589,0.30674161428782004
ack_count,0.01391656518161119,high,0.15442241531817946,-0.051059058500650796
ack_flag_number,0.013905863743837643,high,0.11961332809460322,0.5011563329760487
syn_flag_number,0.013683320465451971,low,0.1050555176608694,-0.44501648972998165
Min,0.013495389466343226,low,0.10283348196234277,-0.08443690092081652
TCP,0.013101211700737346,high,0.06485346053295418,0.37242749818545745
Variance,0.013039175878783239,low,0.05077017466525713,-0.12386828381264052
UDP,0.013026807629987326,low,0.05944136128055777,-0.3555219611031709
Number,0.012827593333637257,high,0.034437910090105994,0.032477438726350394
Weight,0.012762463510517819,high,0.035243169034074096,0.03449818898946493
Duration,0.01265171935619576,high,0.031188368573132137,0.11470445100966388
rst_count,0.012551002387243621,high,0.3599778039312618,-0.8335758947243385
ARP,0.012325627286388682,low,0.005228638260789786,-0.1025292213384672
fin_count,0.012264378927017884,low,0.00019874940757391713,-0.018290652305469935
rst_flag_number,0.012264378927017884,low,0.00019874940757391713,-0.019939353888896113
ICMP,0.012264193689679652,low,0.0001834609916067098,-0.01915696508939515
Drate,0.012261971277993385,high,0.0,0.0
