,flow_duration,Header_Length,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ack_count,syn_count,fin_count,rst_count,max_duration,min_duration,average_duration,std_duration,TCP,UDP,ARP,ICMP,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Variance,Weight,flow_idle_time,flow_active_time
flow_duration,1.0,0.9460553846449259,0.07442821198033037,-0.8101142961083889,-0.8101142961083889,,-0.052550265240030175,-0.4617727015906752,0.0031896335792479906,0.37652229279065175,0.3702584936395502,0.004922089125741142,-0.5419839876414685,0.0031896278719973736,0.9170820832034454,0.002717681485703145,-0.009880807449255506,-0.003252892595901185,0.9799770387325585,0.1747299259558189,-0.1434042061075351,-0.1222673745688749,-0.0228456301474662,0.029960897894336383,-0.04019279505463804,0.27877262138172826,0.11763357764833765,0.3364886643782175,0.14223281764685902,0.2963053631783133,-0.0007918739536038052,0.11686910262624645,0.3343632342138043,0.10728995827351093,0.0027300102228681976,0.33990686962987854,1.0
Header_Length,0.9460553846449259,1.0,0.08309489466408904,-0.679886060312311,-0.679886060312311,,-0.03423436077340905,-0.49198195537850914,0.005683877383086694,0.338723914275806,0.3927530832762505,0.015656177138663865,-0.58059212362292,0.005683851987075396,0.9373733647126572,0.0027865097333034986,-0.009147046948176777,-0.002765154679744349,0.9230918343754188,0.1866623177894663,-0.15524343547345423,-0.12413397851451202,-0.023194404655172713,0.09140213833608238,-0.03892091561423405,0.3111310286854304,0.1452281293242302,0.3499905542638854,0.1519186889651726,0.2824542095363655,-0.0026162546464895266,0.14458023119881333,0.34793311944359395,0.07663174913287346,0.001161523534196962,0.32345513873656023,0.9460553846449259
Duration,0.07442821198033037,0.08309489466408904,1.0,0.044424275932659074,0.044424275932659074,,0.03867495196032745,0.03391651621781515,-0.05654409975537403,0.09667471523611486,0.37128163597284414,0.05065203934904237,0.11163150274669469,-0.05654354160844836,0.22607317859223128,-0.009972947929979457,-0.01067602155192735,-0.010339915066434044,0.0076516762400818976,0.513843000928425,-0.4243037330374492,-0.36397933108495406,0.0014504361099827554,-0.045209560791152424,-0.082609578834536,-0.10231871984298826,-0.08779856304606522,-0.025225572714076303,-0.07313636163659164,0.09596901567406269,-0.006696972379825663,-0.087299304762354,-0.02484682185098379,0.027832023003923245,-0.0029131300648790113,0.15340943006923383,0.07442821198033037
Rate,-0.8101142961083889,-0.679886060312311,0.044424275932659074,1.0,1.0,,0.01953680169545719,0.25626119025797855,-0.003324438208417421,-0.2739120001543574,-0.09622656188371718,-0.04532850263965553,0.46670978118040246,-0.003324437701367504,-0.649989780455699,-0.052921453141630916,-0.043801032969124895,-0.048270561282158085,-0.8291647957391268,-0.017711607416435782,0.035241413958537714,-0.05444982841627907,-0.003347067966192603,0.009998587701165615,0.05301131175974942,-0.24882143521867162,-0.10439161350674526,-0.30293450868907956,-0.12098408317580181,-0.3478562318480868,-0.0033188587531376573,-0.10332429393726589,-0.3010453596247992,-0.09854030749895255,-0.0035279041574792992,-0.388353212885726,-0.8101142961083889
Srate,-0.8101142961083889,-0.679886060312311,0.044424275932659074,1.0,1.0,,0.01953680169545719,0.25626119025797855,-0.003324438208417421,-0.2739120001543574,-0.09622656188371718,-0.04532850263965553,0.46670978118040246,-0.003324437701367504,-0.649989780455699,-0.052921453141630916,-0.043801032969124895,-0.048270561282158085,-0.8291647957391268,-0.017711607416435782,0.035241413958537714,-0.05444982841627907,-0.003347067966192603,0.009998587701165615,0.05301131175974942,-0.24882143521867162,-0.10439161350674526,-0.30293450868907956,-0.12098408317580181,-0.3478562318480868,-0.0033188587531376573,-0.10332429393726589,-0.3010453596247992,-0.09854030749895255,-0.0035279041574792992,-0.388353212885726,-0.8101142961083889
Drate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fin_flag_number,-0.052550265240030175,-0.03423436077340905,0.03867495196032745,0.01953680169545719,0.01953680169545719,,1.0,-0.1261373512479082,-0.004936779247316474,-0.2513303389799744,0.13198555959536473,0.678731204880319,0.3454784771978037,-0.004936779223930368,-0.006951100906910191,-0.005420273208118334,-0.002079242779585926,-0.003764287327800781,-0.05172803501506837,0.09217015456516586,-0.08798960732253339,-0.025384395171177358,-0.004743068260381813,-0.0645830415748671,-0.07834708248787493,-0.34697780578233756,-0.4104133423439684,-0.27496949540713334,-0.330360586424682,-0.0218153991694049,0.0022197964031539564,-0.40931417853297136,-0.2738811565266452,-0.1845650177579668,0.001131659580589439,-0.02410081736702199,-0.052550265240030175
syn_flag_number,-0.4617727015906752,-0.49198195537850914,0.03391651621781515,0.25626119025797855,0.25626119025797855,,-0.1261373512479082,1.0,-0.005016870405320397,-0.25633877309381864,-0.4301911610596233,-0.12115419554006492,0.08348881979785328,-0.005016870381554889,-0.46419827665197055,-0.0039029086026071344,-0.0005554513110825915,-0.0023556817827745007,-0.465311679316662,0.09366546436994137,-0.08941709459505073,-0.0257962154091582,-0.004820016774875775,-0.01704280277169587,0.12950907537747156,-0.029148566519665575,0.14852029267816105,-0.08290753298461451,0.03921469470727878,-0.020160705643661826,0.0019427105641008444,0.14835609693698706,-0.08160528200146698,-0.028679202846329493,-0.00210630594789562,-0.012310301532730984,-0.4617727015906752
rst_flag_number,0.0031896335792479906,0.005683877383086694,-0.05654409975537403,-0.003324438208417421,-0.003324438208417421,,-0.004936779247316474,-0.005016870405320397,1.0,-0.01003261859213265,-0.03412290340734504,0.024906816202765795,0.0060796794159544715,0.999999995262882,0.005398330508728677,-0.0009341961294411527,-0.0008592921186361811,-0.0008721156164936207,0.0028382299479078996,0.0036658905242348302,-0.0034996173027654325,-0.0010096154678319326,-0.0001886464124266968,0.004293869302329322,-0.03628484314002161,0.013456825492200399,0.009984488825974894,0.015481610437177752,-0.02443800804944398,0.0023512269657558604,-0.004303658708938949,0.009987551801601411,0.01548317334813636,0.001291377809071839,-0.003074241343597273,0.00957755252970332,0.0031896335792479906
psh_flag_number,0.37652229279065175,0.338723914275806,0.09667471523611486,-0.2739120001543574,-0.2739120001543574,,-0.2513303389799744,-0.25633877309381864,-0.01003261859213265,1.0,0.26822361559092867,-0.3108047461484537,-0.28149700980167014,-0.010032618544606952,0.38956965946169075,0.005873354928965668,0.00011014399077752311,0.0030837862895366198,0.35760766651855996,0.18730997680985514,-0.17881418757347758,-0.05158666048979815,-0.009638955365226676,-0.0027189692364910116,0.08605429002387881,0.24162775100086908,0.2332570931658889,0.22586103141547895,0.6731184609050688,0.32233137239596193,-0.00310279768607301,0.23016489924354594,0.22390867054190372,0.1915158439053324,-0.0013115868499758538,0.36471090452579663,0.37652229279065175
