campaign_step,attack_time,tactic,technique,network_delta_s,provenance_delta_s
1,2023-12-01 22:25:07+00:00,collection,create staging directory,23.720783948898315,30.664999961853027
2,2023-12-01 22:25:37+00:00,collection,find files,0.5606739521026611,0.6649999618530273
3,2023-12-01 23:25:02+00:00,collection,find files,28.09406805038452,50.17700004577637
4,2023-12-02 00:31:08+00:00,collection,find files,0.6898810863494873,8.04699993133545
5,2023-12-02 01:33:20+00:00,collection,find files,1.1187620162963867,10.266999959945679
6,2023-12-02 02:45:16+00:00,collection,find files,26.432193994522095,12.147000074386597
7,2023-12-02 03:51:26+00:00,collection,find files,27.702276945114136,14.976999998092651
8,2023-12-02 05:01:26+00:00,collection,find files,26.61841106414795,12.618000030517578
9,2023-12-02 06:03:49+00:00,collection,find files,1.0580780506134033,3.4679999351501465
10,2023-12-02 07:03:09+00:00,collection,find files,27.223537921905518,5.341000080108643
11,2023-12-02 08:13:57+00:00,collection,find files,26.749320030212402,6.267999887466431
12,2023-12-02 09:14:29+00:00,collection,find files,25.937474966049194,19.436000108718872
13,2023-12-02 10:10:37+00:00,collection,find files,0.38072800636291504,8.336999893188477
14,2023-12-02 11:03:37+00:00,collection,find files,27.685347080230713,20.930000066757202
15,2023-12-02 11:54:54+00:00,collection,stage sensitive files,28.853323936462402,2.4170000553131104
16,2023-12-02 12:51:38+00:00,collection,stage sensitive files,27.91481900215149,3.1040000915527344
17,2023-12-02 13:43:13+00:00,collection,stage sensitive files,1.2615818977355957,1.2239999771118164
18,2023-12-02 14:43:29+00:00,collection,advanced file search and stager,1.6468760967254639,1.6010000705718994
19,2023-12-02 15:54:56+00:00,collection,advanced file search and stager,27.048619031906128,302.5409998893738
20,2023-12-02 16:37:21+00:00,collection,stage sensitive files,0.08007311820983887,50.58299994468689
21,2023-12-02 17:27:30+00:00,collection,stage sensitive files,28.580862045288086,2.127000093460083
22,2023-12-02 18:36:59+00:00,collection,stage sensitive files,27.24834108352661,3.999000072479248
23,2023-12-02 19:25:37+00:00,exfiltration,compress staged directory,27.64075207710266,3.9079999923706055
24,2023-12-02 20:36:12+00:00,exfiltration,compress staged directory,27.41227388381958,14.77999997138977
25,2023-12-02 21:46:07+00:00,exfiltration,exfil staged directory,25.1649010181427,64.75999999046326
26,2023-12-02 23:02:49+00:00,command and control,linux download file and run,1.2252709865570068,255.32100009918213
27,2023-12-02 23:47:30+00:00,command and control,add command,26.910545110702515,4.296999931335449
28,2023-12-03 00:35:44+00:00,discovery,find local users,28.765256881713867,2.1659998893737793
29,2023-12-03 01:36:39+00:00,discovery,network interface configuration,25.383774042129517,5.099999904632568
30,2023-12-03 02:36:32+00:00,discovery,scan wifi networks,1.1333189010620117,2.049999952316284
31,2023-12-03 03:46:54+00:00,discovery,system owner/user discovery,25.504004955291748,5.36899995803833
32,2023-12-03 04:44:35+00:00,discovery,check python,27.722795963287354,3.312999963760376
33,2023-12-03 05:36:01+00:00,discovery,permission groups discovery,28.04048204421997,2.253999948501587
34,2023-12-03 06:26:22+00:00,discovery,list os information,27.88408899307251,2.1410000324249268
35,2023-12-03 07:24:48+00:00,discovery,list directory,27.990875005722046,3.0160000324249268
36,2023-12-03 08:18:44+00:00,persistence,create a new user in linux,0.5590710639953613,0.6519999504089355
37,2023-12-03 09:16:12+00:00,credential access,extract password with grep,28.68796992301941,61.64400005340576
38,2023-12-03 10:30:11+00:00,command and control,download sandcat and lazagne,27.683361053466797,64.42300009727478
39,2023-12-03 11:37:37+00:00,credential access,dump credentials from firefox browser,25.0214900970459,6.131999969482422
40,2023-12-03 12:41:04+00:00,credential access,dump credentials from firefox browser,26.695203065872192,4.00600004196167
41,2023-12-03 13:33:11+00:00,collection,capture linux desktop,1.696410894393921,2.1110000610351562
42,2023-12-03 14:42:38+00:00,collection,add or copy content to clipboard,27.261122941970825,6.066999912261963
43,2023-12-03 15:31:37+00:00,credential access,dump history,27.536468029022217,63.668999910354614
44,2023-12-03 16:25:03+00:00,discovery,collect arp details,26.984543085098267,2.997999906539917
45,2023-12-03 17:13:05+00:00,lateral movement,start sandcat,28.315990924835205,2.8450000286102295
