threshold,precision,recall,false_positive_windows
0.0,0.030555555555555555,1.0,1396
0.025,0.10434782608695652,0.2727272727272727,103
0.05,0.13043478260869565,0.2727272727272727,80
0.07500000000000001,0.14634146341463414,0.2727272727272727,70
0.1,0.15789473684210525,0.2727272727272727,64
0.125,0.1527777777777778,0.25,61
0.15000000000000002,0.14925373134328357,0.22727272727272727,57
0.17500000000000002,0.15384615384615385,0.22727272727272727,55
0.2,0.1694915254237288,0.22727272727272727,49
0.225,0.17857142857142858,0.22727272727272727,46
0.25,0.18181818181818182,0.22727272727272727,45
0.275,0.20833333333333334,0.22727272727272727,38
0.30000000000000004,0.2127659574468085,0.22727272727272727,37
0.325,0.1956521739130435,0.20454545454545456,37
0.35000000000000003,0.175,0.1590909090909091,33
0.375,0.18421052631578946,0.1590909090909091,31
0.4,0.19444444444444445,0.1590909090909091,29
0.42500000000000004,0.20588235294117646,0.1590909090909091,27
0.45,0.20588235294117646,0.1590909090909091,27
0.47500000000000003,0.20588235294117646,0.1590909090909091,27
0.5,0.20588235294117646,0.1590909090909091,27
0.525,0.1875,0.13636363636363635,26
0.55,0.1935483870967742,0.13636363636363635,25
0.5750000000000001,0.1935483870967742,0.13636363636363635,25
0.6000000000000001,0.21428571428571427,0.13636363636363635,22
0.625,0.24,0.13636363636363635,19
0.65,0.25,0.13636363636363635,18
0.675,0.25,0.13636363636363635,18
0.7000000000000001,0.25,0.13636363636363635,18
0.7250000000000001,0.25,0.13636363636363635,18
0.75,0.2727272727272727,0.13636363636363635,16
0.775,0.3,0.13636363636363635,14
0.8,0.3125,0.11363636363636363,11
0.8250000000000001,0.26666666666666666,0.09090909090909091,11
0.8500000000000001,0.26666666666666666,0.09090909090909091,11
0.875,0.2857142857142857,0.09090909090909091,10
0.9,0.25,0.06818181818181818,9
0.925,0.3,0.06818181818181818,7
0.9500000000000001,0.25,0.045454545454545456,6
0.9750000000000001,0.16666666666666666,0.022727272727272728,5
1.0,0.0,0.0,0
