feature,dtype,rows_audited,missing_count,missing_pct,inf_count,zero_pct,unique_count,dominant_pct,constant,near_constant,min,p01,p25,median,p75,p99,max,mean,std,skew,status,audit_scope
flow_duration,float64,100000,0,0.0,0,0.01944,78685,0.01944,False,False,0.0,0.0,0.017342746257781923,0.11621606349945066,1051.980794072151,2885.6872641301156,2967.513581037522,574.1700870353246,886.8047292516161,1.3120900095219072,PASS,phase1_first_100k
Header_Length,int64,100000,0,0.0,0,0.00452,37318,0.01416,False,False,0.0,74.0,1234.0,2462.0,841131.25,2647514.8199999994,2722844.0,493714.05218,806387.1345562801,1.415496381962952,PASS,phase1_first_100k
Duration,int64,100000,0,0.0,0,0.00432,6,0.97527,False,False,0.0,1.0,64.0,64.0,64.0,64.0,255.0,63.34943,9.45551176521543,-0.44196805088828867,PASS,phase1_first_100k
Rate,float64,100000,0,0.0,0,1e-05,83541,0.00966,False,False,0.0,0.047454695883194516,12.20688652421003,261.8592844709219,901.5807688173968,1380.6135615536537,167772.16,430.37253593667424,1556.9822211245241,55.77688708044303,WARN,phase1_first_100k
Srate,float64,100000,0,0.0,0,1e-05,83541,0.00966,False,False,0.0,0.047454695883194516,12.20688652421003,261.8592844709219,901.5807688173968,1380.6135615536537,167772.16,430.37253593667424,1556.9822211245241,55.77688708044303,WARN,phase1_first_100k
Drate,float64,100000,0,0.0,0,1.0,1,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,phase1_first_100k
fin_flag_number,int64,100000,0,0.0,0,0.88102,2,0.88102,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.11898,0.3237665947068636,2.3537179362027225,PASS,phase1_first_100k
syn_flag_number,int64,100000,0,0.0,0,0.87557,2,0.87557,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12443,0.33007312005470213,2.2757230972821274,PASS,phase1_first_100k
rst_flag_number,int64,100000,0,0.0,0,0.99984,2,0.99984,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00016,0.012648161912309535,79.03915216541822,WARN,phase1_first_100k
psh_flag_number,int64,100000,0,0.0,0,0.63886,2,0.63886,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.36114,0.48033343377499343,0.5781932611444813,PASS,phase1_first_100k
ack_flag_number,int64,100000,0,0.0,0,0.09623,2,0.90377,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.90377,0.2949078785088117,-2.7383335949056145,PASS,phase1_first_100k
ack_count,int64,100000,0,0.0,0,0.79596,25,0.79596,False,False,0.0,0.0,0.0,0.0,0.0,9.0,24.0,1.2859,2.8974238800443763,2.307335786190983,PASS,phase1_first_100k
syn_count,int64,100000,0,0.0,0,0.39839,56,0.4621,False,False,0.0,0.0,0.0,7.5,8.0,16.0,55.0,4.76865,4.760209425375919,1.6939239229893144,PASS,phase1_first_100k
fin_count,int64,100000,0,0.0,0,0.99982,9,0.99982,False,True,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.00056,0.05059359640428787,112.70710327419476,WARN,phase1_first_100k
rst_count,int64,100000,0,0.0,0,0.09275,36177,0.09275,False,False,0.0,0.0,12.0,29.0,11176.25,35176.009999999995,36176.0,6556.31467,10716.128234544236,1.4152180090974487,PASS,phase1_first_100k
max_duration,float64,100000,0,0.0,0,0.0,98836,9e-05,False,False,1701426437.323588,1701426466.534412,1701427189.3735619,1701427929.1643991,1701428662.6438115,1701429375.34404,1701429405.346764,1701427922.919408,854.4592154684397,-0.0007641044670209052,WARN,phase1_first_100k
min_duration,float64,100000,0,0.0,0,0.0,1484,0.36548,False,False,1701426437.323588,1701426437.431581,1701426437.431581,1701427007.240176,1701428169.292321,1701429355.338272,1701429405.339982,1701427343.2712593,971.9676921121104,0.6348787623838263,PASS,phase1_first_100k
average_duration,float64,100000,0,0.0,0,0.0,99538,9e-05,False,False,1701426437.323588,1701426458.6402414,1701426976.1945682,1701427493.6472855,1701428181.133926,1701429355.3442566,1701429405.3437788,1701427627.2020888,799.7351953477512,0.5175043196179249,WARN,phase1_first_100k
std_duration,float64,100000,0,0.0,0,0.01492,95228,0.01492,False,False,0.0,0.0,0.0052811483821313746,0.044179906865924046,315.92522382569626,838.0027991889795,1418.0605994988357,171.67046844373837,262.45703388562333,1.2972585504884588,WARN,phase1_first_100k
TCP,int64,100000,0,0.0,0,0.03111,2,0.96889,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.96889,0.1736158671455269,-5.401572859634109,PASS,phase1_first_100k
