window,rows,new_processes,new_artifacts,new_edges,unique_processes,attack_present,tactic,new_sockets,socket_fan_out,graph_density_proxy,edges_per_minute
28357813,1967,660,0,1307,311,0,normal,0,0,0.003000459136822773,1307.0
28357814,4272,1576,0,2696,777,0,normal,0,0,0.001085444098018501,2696.0
28357815,417,80,0,337,29,0,normal,0,0,0.05265625,337.0
28357816,266,69,0,197,37,0,normal,0,0,0.04137786179374081,197.0
28357817,60,10,0,50,8,0,normal,0,0,0.5,50.0
28357818,91,5,0,86,5,0,normal,0,0,3.44,86.0
28357819,50,8,0,42,6,0,normal,0,0,0.65625,42.0
28357820,31,3,0,28,4,1,initialAccess,0,0,3.111111111111111,28.0
28357821,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357822,36,0,0,36,2,0,normal,0,0,36.0,36.0
28357823,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357824,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357825,39,4,0,35,3,1,collection,0,0,2.1875,35.0
28357826,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357827,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357828,28,2,0,26,2,0,normal,0,0,6.5,26.0
28357829,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357830,32,3,0,29,3,0,normal,0,0,3.2222222222222223,29.0
28357831,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357832,37,2,0,35,2,0,normal,0,0,8.75,35.0
28357833,33,4,0,29,3,0,normal,0,0,1.8125,29.0
28357834,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357835,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357836,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357837,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357838,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357839,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357840,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357841,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357842,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357843,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357844,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357845,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357846,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357847,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357848,33,4,0,29,3,0,normal,0,0,1.8125,29.0
28357849,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357850,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357851,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357852,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357853,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357854,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357855,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357856,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357857,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357858,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357859,32,4,0,28,3,0,normal,0,0,1.75,28.0
28357860,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357861,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357862,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357863,33,4,0,29,3,0,normal,0,0,1.8125,29.0
28357864,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357865,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357866,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357867,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357868,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357869,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357870,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357871,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357872,33,0,0,33,1,0,normal,0,0,33.0,33.0
