feature,reference_role,candidate_role,psi,ks,jsd,wasserstein
flow_duration,train,validation,0.055189065969891926,0.04178894733956434,0.006825215100184693,19.65802355406923
Header_Length,train,validation,0.02257378549456749,0.07859025608319126,0.002815054218933056,311566.418387499
Duration,train,validation,0.00033340947563761686,0.011037381658948187,4.165705342241478e-05,0.7943729365806176
Rate,train,validation,0.9639561313130112,0.24604378251526762,0.09170976355625297,45.19097816193839
Srate,train,validation,0.9639561313130112,0.24604378251526762,0.09170976355625297,45.19097816193839
Drate,train,validation,0.0,0.0,0.0,0.0
fin_flag_number,train,validation,0.0,0.0060241540151566575,0.0,0.0060241540151566575
syn_flag_number,train,validation,0.0,0.019264806609699536,0.0,0.019264806609699425
rst_flag_number,train,validation,0.0,0.00021463833440649172,0.0,0.00021463833440649172
psh_flag_number,train,validation,0.0,0.010065716711627815,0.0,0.010065716711627926
ack_flag_number,train,validation,0.0,0.01699809529560492,0.0,0.01699809529560492
ack_count,train,validation,0.0034082748520453078,0.018280602890686004,0.00042523009606811225,0.1262415699570697
syn_count,train,validation,0.3409040350221137,0.17958465671290036,0.03892261947008014,0.9075658616609348
fin_count,train,validation,0.0,0.00021463833440649172,0.0,0.0003066261920092739
rst_count,train,validation,0.02628296306096992,0.05987546884568662,0.0032711926027161153,711.5577100907141
max_duration,train,validation,7.34432097967068e-06,1.0,9.180378324153692e-07,48519.01267479102
min_duration,train,validation,22.546193253813605,0.9904639254285101,0.5603692436910099,48508.51182840631
average_duration,train,validation,21.251421865577264,0.9984055438015516,0.5925703779163355,48516.850904657294
std_duration,train,validation,0.050583498116215125,0.043666127264468224,0.006270018298024667,6.9557720864113595
TCP,train,validation,0.0,0.014946768835951585,0.0,0.014946768835951585
UDP,train,validation,0.0,0.01647307052012581,0.0,0.0164730705201257
ARP,train,validation,0.0,0.0012503381113655454,0.0,0.0012503381113657674
ICMP,train,validation,0.0,0.0002759635728083465,0.0,0.0002759635728083465
Tot sum,train,validation,0.00910905458459795,0.0563864968681963,0.0011378396316552206,569.6432429278217
Min,train,validation,0.030441414655760887,0.024835491177142375,0.0037036380012727757,9.198156568310392
Max,train,validation,0.04552608990477418,0.06186466824912307,0.005597437558620882,83.51655369468386
AVG,train,validation,0.035423992840067364,0.05944457471679854,0.004385548013513343,51.681545338580854
Std,train,validation,0.011175610532187547,0.05660008454477633,0.0013957933838982931,34.21042437618626
Tot size,train,validation,0.03252913632767057,0.03803981312999882,0.003925937295926888,53.06157349778671
IAT,train,validation,0.19444954319223925,0.04820163738386529,0.018048660050376013,70447.24541098122
Number,train,validation,0.006899093680580127,0.021563010009700068,0.0008617805158572414,0.2239816685646246
Magnitue,train,validation,0.03566151641654719,0.05941391209759761,0.004415333451003309,1.765902316567058
Radius,train,validation,0.010744262620235746,0.057722173279078415,0.0013420473346592644,48.394680451969435
Variance,train,validation,0.0,0.02456650894910245,0.0,0.02456650894910245
Weight,train,validation,0.006182816440754864,0.021492325621974895,0.000772416006620938,4.377379909326573
flow_idle_time,train,validation,0.03652861618038385,0.028315726105338168,0.004526567229019904,4435153.5628634915
flow_active_time,train,validation,0.055189065969891926,0.04178894733956434,0.006825215100184693,19.65802355406923
flow_duration,train,development_test,0.029705071295042903,0.039963420144659034,0.0036939176889613135,54.66073578637874
Header_Length,train,development_test,0.02139902411182148,0.04511157372949337,0.002667986913675182,89447.03894688853
Duration,train,development_test,0.0008039733318023838,0.004774024453406359,0.00010038885754393938,0.30798813380975676
Rate,train,development_test,0.5126990596548843,0.15597341224210035,0.049442417540987396,40.14122264435053
Srate,train,development_test,0.5126990596548843,0.15597341224210035,0.049442417540987396,40.14122264435053
Drate,train,development_test,0.0,0.0,0.0,0.0
fin_flag_number,train,development_test,0.0,0.0033405330593244686,0.0,0.0033405330593243576
syn_flag_number,train,development_test,0.0,0.01231549565072032,0.0,0.012315495650720099
rst_flag_number,train,development_test,0.0,0.00019114367632999674,0.0,0.00019114367632999674
psh_flag_number,train,development_test,0.0,0.0196648464832464,0.0,0.0196648464832464
ack_flag_number,train,development_test,0.0,0.013750595708143631,0.0,0.013750595708143645
ack_count,train,development_test,0.001255803819265611,0.00897780647837465,0.00015675584696588736,0.05126666438772698
syn_count,train,development_test,0.36033691895582964,0.15546849303578048,0.03993078374279333,0.7059322046070393
fin_count,train,development_test,0.0,0.00019114367632999674,0.0,0.0002867155144949951
rst_count,train,development_test,0.015771561083616967,0.03842154505794193,0.001967968647412264,716.0818614015882
max_duration,train,development_test,7.34432097967068e-06,1.0,9.180378324153692e-07,133115.74118271007
min_duration,train,development_test,0.42266035070392327,1.0,0.05060325949683671,133055.7221382521
average_duration,train,development_test,7.34432097967068e-06,1.0,9.180378324153692e-07,133088.04128791468
std_duration,train,development_test,0.02921737202006529,0.043789022653714094,0.0036342986765166264,18.33636776202511
TCP,train,development_test,0.0,0.014830066262566596,0.0,0.01483006626256661
UDP,train,development_test,0.0,0.018814955168563685,0.0,0.018814955168563574
ARP,train,development_test,0.0,0.003889317067831688,0.0,0.00388931706783191
ICMP,train,development_test,0.0,9.557183816488735e-05,0.0,9.557183816499837e-05
Tot sum,train,development_test,0.007553110765312846,0.02378928693412019,0.0009434552774906889,95.98222869390024
Min,train,development_test,0.014009929062505432,0.02650654912699857,0.0017377633855423394,1.5759494776296636
Max,train,development_test,0.007985381766518015,0.017217753553350534,0.0009943668889421588,13.271974614143417
AVG,train,development_test,0.013354800480054312,0.024014672158719996,0.0016658590229201725,7.1626524667396065
Std,train,development_test,0.014618955264577429,0.043544017481574326,0.0018252118899588236,5.685739129077772
Tot size,train,development_test,0.00907084389463971,0.012457460190609448,0.0011182636015649391,6.564296061848508
IAT,train,development_test,0.2566361268910387,0.05138579165339274,0.021725555927517546,5356462.035142887
Number,train,development_test,0.005968646330737293,0.017518631050477268,0.0007456506716359601,0.18103512315323278
Magnitue,train,development_test,0.013678860056611432,0.025394244604729943,0.001706193893340251,0.2422712768295899
Radius,train,development_test,0.01352723085686459,0.04448729744845881,0.0016893243927533499,8.057984548419409
Variance,train,development_test,0.0,0.022584512995845324,0.0,0.022584512995845324
Weight,train,development_test,0.005824420234638559,0.0206627635514805,0.0007276681046093503,4.853569351056588
flow_idle_time,train,development_test,0.04643819832279317,0.034983371879013625,0.005772927039886887,5253619.824066972
flow_active_time,train,development_test,0.029705071295042903,0.039963420144659034,0.0036939176889613135,54.66073578637874
