detector,evaluation_role,attack_tactic,attack_rows,recall
logistic,validation,collection,372,0.11021505376344086
logistic,validation,command and control,42,0.0
logistic,validation,exfiltration,42,0.0
random_forest,validation,collection,372,0.3010752688172043
random_forest,validation,command and control,42,0.11904761904761904
random_forest,validation,exfiltration,42,0.6428571428571429
hist_gradient_boosting,validation,collection,372,0.04032258064516129
hist_gradient_boosting,validation,command and control,42,0.0
hist_gradient_boosting,validation,exfiltration,42,0.38095238095238093
benign_isolation_forest,validation,collection,372,0.2553763440860215
benign_isolation_forest,validation,command and control,42,0.047619047619047616
benign_isolation_forest,validation,exfiltration,42,0.0
logistic,development_test,collection,38,0.0
logistic,development_test,command and control,14,0.0
logistic,development_test,credential access,58,0.0
logistic,development_test,discovery,138,0.0
logistic,development_test,lateral movement,14,0.0
logistic,development_test,persistence,44,0.0
random_forest,development_test,collection,38,0.2894736842105263
random_forest,development_test,command and control,14,0.0
random_forest,development_test,credential access,58,0.5689655172413793
random_forest,development_test,discovery,138,0.2028985507246377
random_forest,development_test,lateral movement,14,0.14285714285714285
random_forest,development_test,persistence,44,0.11363636363636363
hist_gradient_boosting,development_test,collection,38,0.0
hist_gradient_boosting,development_test,command and control,14,0.0
hist_gradient_boosting,development_test,credential access,58,0.4827586206896552
hist_gradient_boosting,development_test,discovery,138,0.0
hist_gradient_boosting,development_test,lateral movement,14,0.0
hist_gradient_boosting,development_test,persistence,44,0.0
benign_isolation_forest,development_test,collection,38,0.2631578947368421
benign_isolation_forest,development_test,command and control,14,0.0
benign_isolation_forest,development_test,credential access,58,0.0
benign_isolation_forest,development_test,discovery,138,0.028985507246376812
benign_isolation_forest,development_test,lateral movement,14,0.0
benign_isolation_forest,development_test,persistence,44,0.5681818181818182
