field,type,required
transition_id,string,True
timestamp_issued,UTC datetime,True
telemetry_window_id,string,True
belief_state,versioned vector,True
proposed_action,enum,True
executed_action,enum,True
behavior_probability_vector,float[action],True
action_scope,entity/scope,True
shield_reason,string/null,True
attack_continued,bool,True
attack_succeeded,bool,True
connection_terminated,bool,True
service_disrupted,bool,True
legitimate_sessions_affected,integer,True
affected_identities,integer,True
recovery_required,bool,True
time_to_containment_ms,float/null,True
rollback_count,integer,True
outcome_observation_horizon_s,float,True
evidence_kind,observed_shadow_deployment,True
