calibration,policy,episodes,attack_episodes,containment_rate,compromise_rate,false_preventions_per_episode,mean_return,return_std
raw,DQN,419.0,239.0,0.9330543933054394,0.06694560669456066,0.32935560859188545,1.6557279236276856,7.938355313958443
raw,LinUCB,419.0,239.0,0.895397489539749,0.10460251046025104,0.00477326968973747,2.332458233890215,7.98152304928095
raw,Masked PPO,419.0,239.0,0.7782426778242678,0.2217573221757322,0.324582338902148,-1.5258949880668256,11.290773530620482
raw,Constrained PPO,419.0,239.0,0.7782426778242678,0.2217573221757322,0.324582338902148,-1.5159904534606206,11.281433716156513
platt,DQN,419.0,239.0,0.9330543933054394,0.06694560669456066,0.33651551312649164,1.627923627684964,7.9617879604010335
platt,LinUCB,419.0,239.0,0.899581589958159,0.100418410041841,0.026252983293556086,2.344868735083532,7.924089652476073
platt,Masked PPO,419.0,239.0,0.7824267782426778,0.2175732217573222,0.32935560859188545,-1.7880668257756567,11.196626274831853
platt,Constrained PPO,419.0,239.0,0.7824267782426778,0.2175732217573222,0.32935560859188545,-1.7794749403341286,11.187995770749875
isotonic,DQN,419.0,239.0,0.9330543933054394,0.06694560669456066,0.33651551312649164,1.6531026252983296,7.9568640106800945
isotonic,LinUCB,419.0,239.0,0.899581589958159,0.100418410041841,0.0,2.437112171837709,7.859485005283531
isotonic,Masked PPO,419.0,239.0,0.7782426778242678,0.2217573221757322,0.32935560859188545,-1.5304295942720767,11.310719409589536
isotonic,Constrained PPO,419.0,239.0,0.7782426778242678,0.2217573221757322,0.32935560859188545,-1.5217183770883056,11.301455369430432
