action,count,fraction,method,seed
ALLOW,1035,0.8992180712423979,Uniform masked Double-DQN,42
MONITOR,0,0.0,Uniform masked Double-DQN,42
RATE_LIMIT,0,0.0,Uniform masked Double-DQN,42
DROP_FLOW,0,0.0,Uniform masked Double-DQN,42
TEMP_BLOCK_SOURCE,0,0.0,Uniform masked Double-DQN,42
BLOCK_DESTINATION_PORT,116,0.10078192875760209,Uniform masked Double-DQN,42
ISOLATE_HOST,0,0.0,Uniform masked Double-DQN,42
ALLOW,1035,0.8992180712423979,Prioritized replay Double-DQN,42
MONITOR,0,0.0,Prioritized replay Double-DQN,42
RATE_LIMIT,0,0.0,Prioritized replay Double-DQN,42
DROP_FLOW,0,0.0,Prioritized replay Double-DQN,42
TEMP_BLOCK_SOURCE,0,0.0,Prioritized replay Double-DQN,42
BLOCK_DESTINATION_PORT,116,0.10078192875760209,Prioritized replay Double-DQN,42
ISOLATE_HOST,0,0.0,Prioritized replay Double-DQN,42
ALLOW,0,0.0,Optimal-stopping threshold,42
MONITOR,982,0.8943533697632058,Optimal-stopping threshold,42
RATE_LIMIT,0,0.0,Optimal-stopping threshold,42
DROP_FLOW,0,0.0,Optimal-stopping threshold,42
TEMP_BLOCK_SOURCE,0,0.0,Optimal-stopping threshold,42
BLOCK_DESTINATION_PORT,116,0.10564663023679417,Optimal-stopping threshold,42
ISOLATE_HOST,0,0.0,Optimal-stopping threshold,42
ALLOW,1035,0.8992180712423979,Uniform masked Double-DQN,43
MONITOR,0,0.0,Uniform masked Double-DQN,43
RATE_LIMIT,0,0.0,Uniform masked Double-DQN,43
DROP_FLOW,0,0.0,Uniform masked Double-DQN,43
TEMP_BLOCK_SOURCE,0,0.0,Uniform masked Double-DQN,43
BLOCK_DESTINATION_PORT,116,0.10078192875760209,Uniform masked Double-DQN,43
ISOLATE_HOST,0,0.0,Uniform masked Double-DQN,43
ALLOW,1035,0.8992180712423979,Prioritized replay Double-DQN,43
MONITOR,0,0.0,Prioritized replay Double-DQN,43
RATE_LIMIT,0,0.0,Prioritized replay Double-DQN,43
DROP_FLOW,0,0.0,Prioritized replay Double-DQN,43
TEMP_BLOCK_SOURCE,0,0.0,Prioritized replay Double-DQN,43
BLOCK_DESTINATION_PORT,116,0.10078192875760209,Prioritized replay Double-DQN,43
ISOLATE_HOST,0,0.0,Prioritized replay Double-DQN,43
ALLOW,0,0.0,Optimal-stopping threshold,43
MONITOR,970,0.8931860036832413,Optimal-stopping threshold,43
RATE_LIMIT,0,0.0,Optimal-stopping threshold,43
DROP_FLOW,0,0.0,Optimal-stopping threshold,43
TEMP_BLOCK_SOURCE,0,0.0,Optimal-stopping threshold,43
BLOCK_DESTINATION_PORT,116,0.10681399631675875,Optimal-stopping threshold,43
ISOLATE_HOST,0,0.0,Optimal-stopping threshold,43
ALLOW,1035,0.8984375,Uniform masked Double-DQN,44
MONITOR,0,0.0,Uniform masked Double-DQN,44
RATE_LIMIT,0,0.0,Uniform masked Double-DQN,44
DROP_FLOW,0,0.0,Uniform masked Double-DQN,44
TEMP_BLOCK_SOURCE,0,0.0,Uniform masked Double-DQN,44
BLOCK_DESTINATION_PORT,117,0.1015625,Uniform masked Double-DQN,44
ISOLATE_HOST,0,0.0,Uniform masked Double-DQN,44
ALLOW,1035,0.8984375,Prioritized replay Double-DQN,44
MONITOR,0,0.0,Prioritized replay Double-DQN,44
RATE_LIMIT,0,0.0,Prioritized replay Double-DQN,44
DROP_FLOW,0,0.0,Prioritized replay Double-DQN,44
TEMP_BLOCK_SOURCE,0,0.0,Prioritized replay Double-DQN,44
BLOCK_DESTINATION_PORT,117,0.1015625,Prioritized replay Double-DQN,44
