method,seed,training_wall_s,episodes,attack_episodes,containment_rate,compromise_rate,false_preventions_per_episode,mean_return,return_std
Uniform masked Double-DQN,42,4.906190833000437,112.0,100.0,0.93,0.0,0.0,5.955357142857143,4.710149362313908
Prioritized replay Double-DQN,42,4.36965466699985,112.0,100.0,0.93,0.0,0.0,5.955357142857143,4.710149362313908
Optimal-stopping threshold,42,0.029776459003187483,112.0,100.0,0.96,0.0,0.0,3.9254464285714286,11.542079449344786
Uniform masked Double-DQN,43,4.360737542003335,112.0,100.0,0.93,0.0,0.0,5.955357142857143,4.710149362313908
Prioritized replay Double-DQN,43,4.417356917001598,112.0,100.0,0.93,0.0,0.0,5.955357142857143,4.710149362313908
Optimal-stopping threshold,43,0.02990029200009303,112.0,100.0,0.97,0.0,0.0,4.060267857142857,11.089528398756368
Uniform masked Double-DQN,44,4.371465917000023,112.0,100.0,0.93,0.0,0.0,5.950892857142857,4.708445973834722
Prioritized replay Double-DQN,44,4.3968911670017405,112.0,100.0,0.93,0.0,0.0,5.950892857142857,4.708445973834722
Optimal-stopping threshold,44,0.029207916999439476,112.0,100.0,0.97,0.0,0.0,4.144196428571428,10.818062659802626
Uniform masked Double-DQN,45,4.396358834001148,112.0,100.0,0.93,0.0,0.0,5.888392857142857,4.686945120219457
Prioritized replay Double-DQN,45,4.424023915998987,112.0,100.0,0.93,0.0,0.0,5.888392857142857,4.686945120219457
Optimal-stopping threshold,45,0.030811958000413142,112.0,100.0,0.98,0.0,0.0,4.141071428571428,10.790071110346148
Uniform masked Double-DQN,46,4.406323832998169,112.0,100.0,0.93,0.0,0.0,5.952678571428572,4.7136193218130575
Prioritized replay Double-DQN,46,4.442906666001363,112.0,100.0,0.93,0.0,0.0,5.952678571428572,4.7136193218130575
Optimal-stopping threshold,46,0.029514333000406623,112.0,100.0,0.99,0.0,0.0,4.300446428571428,10.18307966225564
