method,seed,training_wall_s,episodes,attack_episodes,containment_rate,compromise_rate,false_preventions_per_episode,mean_return,return_std,observation_contract,constraint_cost_last20,lagrange_final
Masked Double-DQN,42,4.906190833000437,112.0,100.0,0.93,0.0,0.0,5.955357142857143,4.710149362313908,belief_state_v2,,
Masked Double-DQN,43,4.360737542003335,112.0,100.0,0.93,0.0,0.0,5.955357142857143,4.710149362313908,belief_state_v2,,
Masked Double-DQN,44,4.371465917000023,112.0,100.0,0.93,0.0,0.0,5.950892857142857,4.708445973834722,belief_state_v2,,
Masked Double-DQN,45,4.396358834001148,112.0,100.0,0.93,0.0,0.0,5.888392857142857,4.686945120219457,belief_state_v2,,
Masked Double-DQN,46,4.406323832998169,112.0,100.0,0.93,0.0,0.0,5.952678571428572,4.7136193218130575,belief_state_v2,,
Rule threshold,42,0.03089587500289781,112.0,100.0,0.96,0.0,0.0,3.6218749999999997,11.4471627435462,belief_state_v2,,
Optimal stopping,42,0.03049545800240594,112.0,100.0,0.96,0.0,0.0,3.9254464285714286,11.542079449344786,belief_state_v2,,
LinUCB,42,0.08978687499984517,112.0,100.0,0.93,0.0,0.0,5.955357142857143,4.710149362313908,belief_state_v2,,
Constrained PPO,42,0.707729041998391,112.0,100.0,0.87,0.09,0.0,-6.055803571428574,16.036169699775172,belief_state_v2,0.29210164835164837,0.4450658845511786
Rule threshold,43,0.03153858299992862,112.0,100.0,0.97,0.0,0.0,3.7611607142857144,10.996047808314694,belief_state_v2,,
Optimal stopping,43,0.030424790998949902,112.0,100.0,0.97,0.0,0.0,4.060267857142857,11.089528398756368,belief_state_v2,,
LinUCB,43,0.09974775000227964,112.0,100.0,0.93,0.0,0.0,5.890178571428572,4.692165960053382,belief_state_v2,,
Constrained PPO,43,0.12459229200248956,112.0,100.0,0.94,0.0,0.2767857142857143,0.5446428571428571,22.013140715449108,belief_state_v2,0.3505912965520863,0.7588499250633388
Rule threshold,44,0.03058483299901127,112.0,100.0,0.97,0.0,0.0,3.845089285714285,10.724556600519314,belief_state_v2,,
Optimal stopping,44,0.030352542002219707,112.0,100.0,0.97,0.0,0.0,4.144196428571428,10.818062659802626,belief_state_v2,,
LinUCB,44,0.0963029579979775,112.0,100.0,0.93,0.0,0.0,5.888392857142857,4.686945120219457,belief_state_v2,,
Constrained PPO,44,0.11818750000020373,112.0,100.0,0.94,0.0,0.2767857142857143,0.30357142857142855,21.937447307919744,belief_state_v2,0.4125396718005077,0.8239734764262008
Rule threshold,45,0.0315327080024872,112.0,100.0,0.98,0.0,0.0,3.815178571428571,10.690793851833359,belief_state_v2,,
Optimal stopping,45,0.030787959000008414,112.0,100.0,0.98,0.0,0.0,4.141071428571428,10.790071110346148,belief_state_v2,,
LinUCB,45,0.08501112500016461,112.0,100.0,0.93,0.0,0.0,5.950892857142857,4.708445973834722,belief_state_v2,,
Constrained PPO,45,0.13423979199797031,112.0,100.0,0.98,0.0,0.0,4.078571428571428,10.770208816879258,belief_state_v2,0.3465514748409485,0.512406104885234
Rule threshold,46,0.030983874999947147,112.0,100.0,0.99,0.0,0.0,3.974553571428571,10.08297715816763,belief_state_v2,,
Optimal stopping,46,0.030223750000004657,112.0,100.0,0.99,0.0,0.0,4.300446428571428,10.18307966225564,belief_state_v2,,
LinUCB,46,0.09401616700051818,112.0,100.0,0.93,0.0,0.008928571428571428,5.59375,4.6668144773572715,belief_state_v2,,
Constrained PPO,46,0.14565691700045136,112.0,100.0,0.93,0.0,0.008928571428571428,5.075892857142857,4.531245601686817,belief_state_v2,0.3776238710263478,0.6349453540000046
