action,count,fraction,policy
ALLOW,2413,0.8777737359039651,DQN
MONITOR,0,0.0,DQN
RATE_LIMIT,0,0.0,DQN
DROP_FLOW,0,0.0,DQN
TEMP_BLOCK_SOURCE,136,0.04947253546744271,DQN
BLOCK_DESTINATION_PORT,4,0.0014550745725718443,DQN
ISOLATE_HOST,196,0.07129865405602037,DQN
ALLOW,2395,0.84539357571479,LinUCB
MONITOR,35,0.012354394634662902,LinUCB
RATE_LIMIT,64,0.022590893046240734,LinUCB
DROP_FLOW,0,0.0,LinUCB
TEMP_BLOCK_SOURCE,339,0.11966113660430638,LinUCB
BLOCK_DESTINATION_PORT,0,0.0,LinUCB
ISOLATE_HOST,0,0.0,LinUCB
ALLOW,393,0.1415706051873199,Masked PPO
MONITOR,2068,0.7449567723342939,Masked PPO
RATE_LIMIT,0,0.0,Masked PPO
DROP_FLOW,0,0.0,Masked PPO
TEMP_BLOCK_SOURCE,0,0.0,Masked PPO
BLOCK_DESTINATION_PORT,0,0.0,Masked PPO
ISOLATE_HOST,315,0.11347262247838617,Masked PPO
ALLOW,223,0.08135716891645385,Constrained PPO
MONITOR,2203,0.8037212696096315,Constrained PPO
RATE_LIMIT,0,0.0,Constrained PPO
DROP_FLOW,0,0.0,Constrained PPO
TEMP_BLOCK_SOURCE,0,0.0,Constrained PPO
BLOCK_DESTINATION_PORT,0,0.0,Constrained PPO
ISOLATE_HOST,315,0.11492156147391464,Constrained PPO
