attack_family,episodes,contained,compromised,containment_rate,compromise_rate,policy
DoS,138,134,4,0.9710144927536232,0.028985507246376812,DQN
Probe,45,45,0,1.0,0.0,DQN
R2L,54,3,51,0.05555555555555555,0.9444444444444444,DQN
U2R,2,1,1,0.5,0.5,DQN
DoS,138,128,10,0.927536231884058,0.07246376811594203,LinUCB
Probe,45,40,5,0.8888888888888888,0.1111111111111111,LinUCB
R2L,54,2,52,0.037037037037037035,0.9629629629629629,LinUCB
U2R,2,1,1,0.5,0.5,LinUCB
DoS,138,134,4,0.9710144927536232,0.028985507246376812,Masked PPO
Probe,45,45,0,1.0,0.0,Masked PPO
R2L,54,3,51,0.05555555555555555,0.9444444444444444,Masked PPO
U2R,2,1,1,0.5,0.5,Masked PPO
DoS,138,134,4,0.9710144927536232,0.028985507246376812,Constrained PPO
Probe,45,45,0,1.0,0.0,Constrained PPO
R2L,54,10,44,0.18518518518518517,0.8148148148148148,Constrained PPO
U2R,2,1,1,0.5,0.5,Constrained PPO
