method,seed,training_wall_s,episodes,attack_episodes,containment_rate,compromise_rate,false_preventions_per_episode,mean_return,return_std
Uniform masked Double-DQN,42,0.7474342499990598,419.0,239.0,0.7698744769874477,0.2301255230125523,0.32935560859188545,-1.6109785202863962,11.575846128943258
Prioritized replay Double-DQN,42,0.5819174999996903,419.0,239.0,0.7698744769874477,0.2301255230125523,0.32935560859188545,-1.6133651551312649,11.574121940760659
Optimal-stopping threshold,42,0.0,419.0,239.0,0.8410041841004184,0.1589958158995816,0.32935560859188545,-1.6620525059665867,10.762518562636053
Uniform masked Double-DQN,43,0.7407690830004867,419.0,239.0,0.7531380753138075,0.24686192468619247,0.32935560859188545,-1.8795942720763723,11.759988191735246
Prioritized replay Double-DQN,43,0.580146791999141,419.0,239.0,0.7531380753138075,0.24686192468619247,0.32935560859188545,-1.8794749403341289,11.759743178694293
Optimal-stopping threshold,43,0.0,419.0,239.0,0.8535564853556485,0.14644351464435146,0.32935560859188545,-1.4687350835322186,10.530868414781253
Uniform masked Double-DQN,44,0.7394726249985979,419.0,239.0,0.7531380753138075,0.24686192468619247,0.32935560859188545,-2.0274463007159906,11.713254060518674
Prioritized replay Double-DQN,44,0.5789039589981257,419.0,239.0,0.7531380753138075,0.24686192468619247,0.32935560859188545,-2.0274463007159906,11.713254060518674
Optimal-stopping threshold,44,0.0,419.0,239.0,0.8326359832635983,0.16736401673640167,0.32935560859188545,-1.8717183770883052,10.91646272304796
Uniform masked Double-DQN,45,0.7231235830004152,419.0,239.0,0.7573221757322176,0.24267782426778242,0.324582338902148,-1.8556085918854415,11.713873454677298
Prioritized replay Double-DQN,45,0.5660179160004191,419.0,239.0,0.7573221757322176,0.24267782426778242,0.324582338902148,-1.8556085918854415,11.713873454677298
Optimal-stopping threshold,45,0.0,419.0,239.0,0.8368200836820083,0.16317991631799164,0.32935560859188545,-1.7618138424820995,10.819494143068093
Uniform masked Double-DQN,46,0.7490588330001628,419.0,239.0,0.7740585774058577,0.22594142259414227,0.32935560859188545,-1.597852028639618,11.466563206058478
Prioritized replay Double-DQN,46,0.5784695000002102,419.0,239.0,0.7740585774058577,0.22594142259414227,0.32935560859188545,-1.5369928400954653,11.498435777292974
Optimal-stopping threshold,46,0.0,419.0,239.0,0.8284518828451883,0.17154811715481172,0.32935560859188545,-1.9494033412887823,11.060406643039494
